originx,originy,origin,destinationx,destinationy,destination
-36.76462413,174.74155155,53 KENNEDY AVE,-36.76443917,174.74070145,6 BALTIMORE PL
-36.7957789,174.77346383,26 NAPIER AVE,-36.74313355,174.71958642,18 COWLEY PL
-36.73984022,174.7240632,7 CANAVERAL DR,-36.74313355,174.71958642,18 COWLEY PL
-36.7798297,174.72924693, CHIVALRY RD,-36.7796231,174.72981432,118 CHIVALRY RD
-36.7530227,174.73279775,3 LAURINA RD,-36.75305458,174.73228618,7 LAURINA RD
-36.75990613,174.7378527,7 KAPITI PL,-36.75900402,174.7375535,17 COCKAYNE CRES
-36.78016312,174.75498547, SHAKESPEARE RD,-36.77743518,174.75791225,137 SHAKESPEARE RD
-36.77676305,174.74986753,45 FORREST HILL RD,-36.77577765,174.75004237,12 CURREY CRES
-36.83002203,174.79213842, HUIA ST,-36.74313355,174.71958642,18 COWLEY PL
-36.7798297,174.72924693, CHIVALRY RD,-36.7798297,174.72924693, CHIVALRY RD
-36.80683558,174.69663348,105 RANGATIRA RD,-36.8067583,174.69614522,109 RANGATIRA RD
-36.80884247,174.72818205,21 ZION RD,-36.80885455,174.72796517,19 ZION RD
-36.87376197,174.64733097,9 ROBERTS RD,-36.78951333,174.7190012,17 ROBERTS RD
-36.75305458,174.73228618,7 LAURINA RD,-36.75305458,174.73228618,7 LAURINA RD
-36.75161127,174.72470712,25 CABELLO PL,-36.74313355,174.71958642,18 COWLEY PL
-36.76260833,174.76431063, MARAMA ST,-36.7623575,174.76530258,2 MARAMA ST
-36.7780392,174.7533711,38 NILE RD,-36.77513587,174.75618395,84 NILE RD
-36.79413207,174.77051503,39 TENNYSON AVE,-36.79413207,174.77051503,39 TENNYSON AVE
